method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
a2,A2 PCTL only,ablation,type_k,12,categorical,17,42,42,15,5,22,0,0.35714285714285715,0.11904761904761904,0.5238095238095238,0.0
a2,A2 PCTL only,ablation,type_k,12,causal,17,35,0,0,0,0,35,,,,1.0
a2,A2 PCTL only,ablation,type_k,12,comparative,6,8,8,0,0,8,0,0.0,0.0,1.0,0.0
a2,A2 PCTL only,ablation,type_k,12,numerical,25,99,99,94,1,4,0,0.9494949494949495,0.010101010101010102,0.04040404040404041,0.0
a2,A2 PCTL only,ablation,type_k,15,categorical,19,49,49,16,3,30,0,0.32653061224489793,0.061224489795918366,0.6122448979591837,0.0
a2,A2 PCTL only,ablation,type_k,15,causal,7,13,0,0,0,0,13,,,,1.0
a2,A2 PCTL only,ablation,type_k,15,comparative,7,9,9,0,0,9,0,0.0,0.0,1.0,0.0
a2,A2 PCTL only,ablation,type_k,15,numerical,24,78,78,76,0,2,0,0.9743589743589743,0.0,0.02564102564102564,0.0
a2,A2 PCTL only,ablation,type_k,26,categorical,6,8,8,0,0,8,0,0.0,0.0,1.0,0.0
a2,A2 PCTL only,ablation,type_k,26,causal,6,14,0,0,0,0,14,,,,1.0
a3,A3 derived only,ablation,type_k,1,categorical,16,36,36,14,9,13,0,0.3888888888888889,0.25,0.3611111111111111,0.0
a3,A3 derived only,ablation,type_k,1,causal,8,12,0,0,0,0,12,,,,1.0
a3,A3 derived only,ablation,type_k,1,comparative,20,50,50,23,13,14,0,0.46,0.26,0.28,0.0
a3,A3 derived only,ablation,type_k,1,numerical,26,146,146,144,0,2,0,0.9863013698630136,0.0,0.0136986301369863,0.0
a3,A3 derived only,ablation,type_k,2,categorical,30,92,92,16,24,52,0,0.17391304347826086,0.2608695652173913,0.5652173913043478,0.0
a3,A3 derived only,ablation,type_k,2,causal,1,1,0,0,0,0,1,,,,1.0
a3,A3 derived only,ablation,type_k,2,comparative,8,10,10,7,0,3,0,0.7,0.0,0.3,0.0
a3,A3 derived only,ablation,type_k,2,numerical,28,84,84,84,0,0,0,1.0,0.0,0.0,0.0
a3,A3 derived only,ablation,type_k,3,categorical,24,76,76,0,0,76,0,0.0,0.0,1.0,0.0
a3,A3 derived only,ablation,type_k,3,causal,23,84,0,0,0,0,84,,,,1.0
a3,A3 derived only,ablation,type_k,3,comparative,2,2,2,0,0,2,0,0.0,0.0,1.0,0.0
a3,A3 derived only,ablation,type_k,4,categorical,17,26,26,4,0,22,0,0.15384615384615385,0.0,0.8461538461538461,0.0
a3,A3 derived only,ablation,type_k,4,causal,6,7,0,0,0,0,7,,,,1.0
a3,A3 derived only,ablation,type_k,4,numerical,30,55,55,55,0,0,0,1.0,0.0,0.0,0.0
a3,A3 derived only,ablation,type_k,5,categorical,27,54,54,31,12,11,0,0.5740740740740741,0.2222222222222222,0.2037037037037037,0.0
a3,A3 derived only,ablation,type_k,5,causal,3,3,0,0,0,0,3,,,,1.0
a3,A3 derived only,ablation,type_k,5,comparative,4,7,7,4,1,2,0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0
a3,A3 derived only,ablation,type_k,5,numerical,27,64,64,64,0,0,0,1.0,0.0,0.0,0.0
a3,A3 derived only,ablation,type_k,12,categorical,16,78,78,12,34,32,0,0.15384615384615385,0.4358974358974359,0.41025641025641024,0.0
a3,A3 derived only,ablation,type_k,12,causal,11,26,0,0,0,0,26,,,,1.0
a3,A3 derived only,ablation,type_k,12,comparative,7,33,33,15,2,16,0,0.45454545454545453,0.06060606060606061,0.48484848484848486,0.0
a3,A3 derived only,ablation,type_k,12,numerical,25,119,119,115,0,4,0,0.9663865546218487,0.0,0.03361344537815126,0.0
a3,A3 derived only,ablation,type_k,15,categorical,11,15,15,2,3,10,0,0.13333333333333333,0.2,0.6666666666666666,0.0
a3,A3 derived only,ablation,type_k,15,causal,7,13,0,0,0,0,13,,,,1.0
a3,A3 derived only,ablation,type_k,15,comparative,2,3,3,1,1,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
a3,A3 derived only,ablation,type_k,15,numerical,29,157,157,145,12,0,0,0.9235668789808917,0.07643312101910828,0.0,0.0
a3,A3 derived only,ablation,type_k,26,categorical,15,29,29,10,9,10,0,0.3448275862068966,0.3103448275862069,0.3448275862068966,0.0
a3,A3 derived only,ablation,type_k,26,causal,10,14,0,0,0,0,14,,,,1.0
a3,A3 derived only,ablation,type_k,26,comparative,8,17,17,14,2,1,0,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.0
a3,A3 derived only,ablation,type_k,26,numerical,30,152,152,138,9,5,0,0.9078947368421053,0.05921052631578947,0.03289473684210526,0.0
a4,A4 fixed reference,ablation,type_k,1,categorical,16,41,41,19,9,13,0,0.4634146341463415,0.21951219512195122,0.3170731707317073,0.0
a4,A4 fixed reference,ablation,type_k,1,causal,12,30,0,0,0,0,30,,,,1.0
a4,A4 fixed reference,ablation,type_k,1,comparative,18,32,32,24,1,7,0,0.75,0.03125,0.21875,0.0
a4,A4 fixed reference,ablation,type_k,1,numerical,29,217,217,207,8,2,0,0.9539170506912442,0.03686635944700461,0.009216589861751152,0.0
a4,A4 fixed reference,ablation,type_k,2,categorical,28,52,52,14,7,31,0,0.2692307692307692,0.1346153846153846,0.5961538461538461,0.0
a4,A4 fixed reference,ablation,type_k,2,causal,2,2,0,0,0,0,2,,,,1.0
a4,A4 fixed reference,ablation,type_k,2,comparative,7,10,10,2,3,5,0,0.2,0.3,0.5,0.0
a4,A4 fixed reference,ablation,type_k,2,numerical,29,146,146,146,0,0,0,1.0,0.0,0.0,0.0
a4,A4 fixed reference,ablation,type_k,3,categorical,15,26,26,8,12,6,0,0.3076923076923077,0.46153846153846156,0.23076923076923078,0.0
a4,A4 fixed reference,ablation,type_k,3,causal,20,46,0,0,0,0,46,,,,1.0
a4,A4 fixed reference,ablation,type_k,3,comparative,12,18,18,6,0,12,0,0.3333333333333333,0.0,0.6666666666666666,0.0
a4,A4 fixed reference,ablation,type_k,3,numerical,27,87,87,86,0,1,0,0.9885057471264368,0.0,0.011494252873563218,0.0
a4,A4 fixed reference,ablation,type_k,4,categorical,14,60,60,5,1,54,0,0.08333333333333333,0.016666666666666666,0.9,0.0
a4,A4 fixed reference,ablation,type_k,4,causal,9,17,0,0,0,0,17,,,,1.0
a4,A4 fixed reference,ablation,type_k,4,numerical,21,43,43,40,0,3,0,0.9302325581395349,0.0,0.06976744186046512,0.0
a4,A4 fixed reference,ablation,type_k,5,categorical,15,23,23,15,7,1,0,0.6521739130434783,0.30434782608695654,0.043478260869565216,0.0
a4,A4 fixed reference,ablation,type_k,5,causal,1,2,0,0,0,0,2,,,,1.0
a4,A4 fixed reference,ablation,type_k,5,comparative,3,4,4,3,1,0,0,0.75,0.25,0.0,0.0
a4,A4 fixed reference,ablation,type_k,5,numerical,30,113,113,110,3,0,0,0.9734513274336283,0.02654867256637168,0.0,0.0
a4,A4 fixed reference,ablation,type_k,12,categorical,13,28,28,10,6,12,0,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.0
a4,A4 fixed reference,ablation,type_k,12,causal,8,14,0,0,0,0,14,,,,1.0
a4,A4 fixed reference,ablation,type_k,12,comparative,9,11,11,4,2,5,0,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.0
a4,A4 fixed reference,ablation,type_k,12,numerical,29,171,171,165,0,6,0,0.9649122807017544,0.0,0.03508771929824561,0.0
a4,A4 fixed reference,ablation,type_k,15,categorical,6,7,7,1,1,5,0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0
a4,A4 fixed reference,ablation,type_k,15,causal,6,7,0,0,0,0,7,,,,1.0
a4,A4 fixed reference,ablation,type_k,15,comparative,9,11,11,3,1,7,0,0.2727272727272727,0.09090909090909091,0.6363636363636364,0.0
a4,A4 fixed reference,ablation,type_k,15,numerical,30,151,151,131,5,15,0,0.8675496688741722,0.033112582781456956,0.09933774834437085,0.0
a4,A4 fixed reference,ablation,type_k,26,categorical,12,21,21,16,1,4,0,0.7619047619047619,0.047619047619047616,0.19047619047619047,0.0
a4,A4 fixed reference,ablation,type_k,26,causal,7,10,0,0,0,0,10,,,,1.0
a4,A4 fixed reference,ablation,type_k,26,comparative,7,8,8,2,4,2,0,0.25,0.5,0.25,0.0
a4,A4 fixed reference,ablation,type_k,26,numerical,30,223,223,205,16,2,0,0.9192825112107623,0.07174887892376682,0.008968609865470852,0.0
