method,method_name,family,query_id,type_k,scenario,status,claim_status,latency_sec,explanation_words,explanation_chars,input_words,input_chars,claim_count,numerical_claim_count,categorical_claim_count,comparative_claim_count,causal_claim_count,unique_numeric_values
ours,Full NS-XAI,main,Q0501,4,2,ok,ok,12.43,109,697,40,337,6,4,2,0,0,2
ours,Full NS-XAI,main,Q0526,4,2,ok,ok,11.9,181,1141,40,346,5,4,0,0,1,2
ours,Full NS-XAI,main,Q0536,4,2,ok,ok,16.49,155,1025,38,327,6,3,2,0,1,1
ours,Full NS-XAI,main,Q1571,5,2,ok,ok,16.57,170,1041,195,1220,8,0,7,1,0,0
ours,Full NS-XAI,main,Q1076,12,2,ok,ok,18.79,203,1282,229,1476,16,4,8,2,2,4
ours,Full NS-XAI,main,Q0436,4,0,ok,ok,11.52,135,866,39,333,4,3,1,0,0,2
ours,Full NS-XAI,main,Q1391,5,0,ok,ok,38.2,150,954,162,992,4,1,3,0,0,1
ours,Full NS-XAI,main,Q0201,2,1,ok,ok,39.27,183,1147,201,1246,7,6,0,1,0,4
ours,Full NS-XAI,main,Q0206,2,1,ok,ok,17.07,225,1412,234,1434,17,9,6,1,1,4
ours,Full NS-XAI,main,Q0216,2,1,ok,ok,14.1,186,1158,202,1251,7,3,3,1,0,2
ours,Full NS-XAI,main,Q0226,2,1,ok,ok,17.07,180,1127,205,1262,13,7,6,0,0,6
ours,Full NS-XAI,main,Q0246,2,1,ok,ok,15.64,192,1168,234,1444,7,3,3,1,0,3
ours,Full NS-XAI,main,Q0481,4,1,ok,ok,10.69,134,846,38,327,6,6,0,0,0,2
ours,Full NS-XAI,main,Q0271,2,2,ok,ok,37.42,191,1223,173,1077,10,7,2,1,0,5
ours,Full NS-XAI,main,Q0291,2,2,ok,ok,14.35,207,1282,232,1458,10,3,6,1,0,3
ours,Full NS-XAI,main,Q1111,12,2,ok,ok,34.48,213,1335,227,1468,7,6,1,0,0,6
b1,B1 trajectory-only,baseline,Q0021,1,0,ok,ok,2.34,121,776,111,757,6,5,1,0,0,5
b1,B1 trajectory-only,baseline,Q0036,1,0,ok,ok,2.68,124,773,111,757,9,5,3,0,1,5
b1,B1 trajectory-only,baseline,Q0686,1,0,ok,ok,2.82,141,892,111,762,11,7,4,0,0,7
b1,B1 trajectory-only,baseline,Q0701,1,0,ok,ok,2.63,138,942,114,785,11,9,2,0,0,9
b1,B1 trajectory-only,baseline,Q0811,1,0,ok,ok,2.01,136,882,114,772,11,6,4,0,1,4
b1,B1 trajectory-only,baseline,Q0931,1,0,ok,ok,2.72,136,861,109,752,5,4,0,1,0,4
